Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,37.307498931884766,39.845001220703125,37.3025016784668,38.209999084472656,38.209999084472656,5654800
2022-01-04,38.04249954223633,38.247501373291016,35.76250076293945,37.227500915527344,37.227500915527344,7339600
2022-01-05,37.09749984741211,37.212501525878906,32.287498474121094,32.342498779296875,32.342498779296875,13585600
2022-01-06,33.209999084472656,34.42499923706055,30.28499984741211,32.75749969482422,32.75749969482422,24206000
2022-01-07,39.942501068115234,40.07749938964844,33.125,35.154998779296875,35.154998779296875,48549200
2022-01-10,33.747501373291016,33.92250061035156,30.0,32.787498474121094,32.787498474121094,22048000
2022-01-11,32.525001525878906,34.20000076293945,31.84749984741211,32.57500076293945,32.57500076293945,10332400
2022-01-12,32.5,32.83000183105469,31.612499237060547,32.01499938964844,32.01499938964844,6298000
2022-01-13,32.125,32.625,30.422500610351562,30.6200008392334,30.6200008392334,8901200
2022-01-14,30.037500381469727,30.575000762939453,28.0049991607666,29.162500381469727,29.162500381469727,15402000
2022-01-18,28.27750015258789,28.4375,26.100000381469727,27.227500915527344,27.227500915527344,15022400
2022-01-19,27.502500534057617,28.262500762939453,26.102500915527344,26.642499923706055,26.642499923706055,9614400
2022-01-20,26.975000381469727,28.799999237060547,25.399999618530273,25.667499542236328,25.667499542236328,11680400
2022-01-21,25.25,27.552499771118164,23.18000030517578,26.59000015258789,26.59000015258789,22120000
2022-01-24,24.7549991607666,25.71500015258789,21.572500228881836,25.037500381469727,25.037500381469727,25039600
